,codigo,clase,descrip,cod_sector,um,costo_prom,costo_cif,costo_fob,art_venta,art_inv,art_compra,art_gramado,img,estado_venta,composicion,temporada,ligamento,combinacion,especificaciones,acabado,tipo,estetica,ancho,espesor,gramaje_prom,rendimiento,produc_ancho,produc_largo,produc_alto,produc_costo,mnj_x_lotes,cant_retazo,precio_retazo,sistema_liado,tags,visible_web,web_min_stock,shopify_id,tipo_iva,estado
61,B0010,Articulo,TASLAN CIRE,101,Mts,6876.13,7000.0,,True,True,True,True,,Normal,NYLON,Permanente,Tafetan,REVES A CONTRA TONO,SEMI BRILLOSO,Semi Brilloso,Plano,Liso,1.5,0.11,72.0,9.13,0.0,0.0,0.0,,Si,3.0,9000.0,Pieza_Rigida,,,,,iva_10,Activo
62,B0011,Articulo,TASLAN IMPERMEABLE,101,Mts,8681.0,8681.0,,True,True,True,True,,Normal,NYLON,Permanente,Tafetan,NINGUNA,TELA DE ASPECTO ENGOMADO REPELE EL AGUA,Semi Brilloso,Plano,Liso,1.5,0.11,61.0,10.66,0.0,0.0,0.0,,Si,3.0,12500.0,Pieza_Rigida,,,,,iva_10,Activo
63,B0012,Articulo,TACTEL IMPERMEABLE,101,Mts,10133.27,9021.42,,True,True,True,True,,Normal,100% Nylon,Oto-Inv,Tafetán,,"El Tactel Impermeable es una tela liviana, resistente y confortable que repele el agua.",Mate,Plano,Liso,1.5,0.25,110.0,0.0,0.0,0.0,0.0,,Si,3.0,12000.0,Pieza_Rigida,,true,5.0,,iva_10,Activo
64,B0013,Articulo,MICROFIBRA,101,Mts,4231.01,4456.49,,True,True,True,True,,Normal,100% POLIéSTER,Perm,Tafetan,,La Microfibra es una tela liviana y resistente.,Mate,Plano,Liso,1.5,0.21,100.0,6.67,0.0,0.0,0.0,,Si,3.0,5500.0,Pieza_Rigida,,false,,,iva_10,Activo
65,B0014,Articulo,TACTEL GAMUZADO,101,Mts,7595.0,0.0,,True,True,True,True,,Normal,100% POLIESTER,Oto-Inv,Tafetan,NINGUNA,"TELA CON GAMUZA, SEMI TRANSPARENTE SUAVE Y RESISTENTE",Semi Brilloso,Plano,Liso,1.5,0.2,107.0,6.23,0.0,0.0,0.0,,Si,3.0,11000.0,Pieza_Rigida,,,,,iva_10,Activo
66,B0015,Articulo,TACTEL ARRUGADO,101,Mts,10237.0,0.0,,True,True,True,True,,Normal,NYLON,Oto-Inv,Tafetan,NINGUNA,"TELA LIVIANA, RESISTENTE DE ASPECTO ARRUGADO",Mate,Plano,Liso,1.5,0.19,99.0,6.71,0.0,0.0,0.0,,Si,3.0,14500.0,Pieza_Rigida,,,,,iva_10,Activo
67,B0016,Articulo,DRY SPEED,101,Mts,13050.13,13050.47,,True,True,True,True,,Normal,100% POLIESTER,Oto-Inv,Interlock,NINGUNA,"TELA DEPORTIVA, LIVIANA DE ALTO RENDIMIENTO",Semi Brilloso,Punto,Liso,1.9,0.34,137.0,3.84,0.0,0.0,0.0,,Si,3.0,17200.0,Manual,,,,,iva_10,Activo
68,B0017,Articulo,MICRO PERFORADO,101,Mts,17469.38,19730.13,,True,True,True,True,,Normal,POLIESTER,Perm,JERSEY,NINGUNA,TELA ELASTICA CON MICRO AGUJEROS,Mate,Punto,Labrado,1.7,145.0,0.0,0.0,0.0,0.0,0.0,,Si,3.0,22500.0,Manual,,,,,iva_10,Activo
69,B0018,Articulo,MICROFIBRA SPANDEX,101,Mts,7042.25,7153.77,,True,True,True,True,,Normal,94% Poliéster / 6% Spandex,Perm,Tafetán,,"El tejido Microfibra Spandex esta compuesto por microfibras ultrafinas y fibras elásticas de spandex. Las microfibras ofrecen suavidad, ligereza, resistencia y alta absorción de humedad.",Mate,Punto,Liso,1.5,0.25,125.0,5.33,0.0,0.0,0.0,,Si,3.0,17000.0,Pieza_Elastizada,,true,5.0,,iva_10,Activo
70,B0019,Articulo,MOLETON TERRY COTTON,101,Mts,18619.07,18723.38,,True,True,True,True,,Normal,100% algodon,Perm,Jersey,REVES MALLA COMPUESTA,TELA CONFORTABLE SUAVE Y TERMICA,Mate,Punto,Liso,2.12,0.0,200.0,2.5,0.0,0.0,0.0,,Si,2.0,29000.0,Manual,,false,,,iva_10,Activo
71,B0020,Articulo,POLAR VELBOA,101,Mts,10073.98,9039.73,,True,True,True,True,,Normal,100% Poliéster,Oto-Inv,Jersey,Micro Pelos,"El Polar Velboa se caracteriza por ser una tela suave, térmica, con pelos finos y largos.",Semi Brilloso,Punto,Liso,1.9,1.71,208.0,2.53,0.0,0.0,0.0,,Si,3.0,17000.0,Pieza_Elastizada,,false,,,iva_10,Activo
72,B0021,Articulo,POLAR ESTAMPADO,101,Mts,8356.24,8374.09,,True,True,True,True,,Normal,100% Poliéster,Oto-Inv,Jersey,,"El tejido Polar Estampado se caracteriza por tener una textura suave y afelpada al tacto en ambas caras. Su apariencia es lisa, uniforme y térmica.",Semi Brilloso,Punto,Estampado,1.66,1.06,184.0,3.27,0.0,0.0,0.0,,Si,3.0,10000.0,Pieza_Elastizada,,false,,,iva_10,Activo
73,B0022,Articulo,POLAR INFANTIL,101,Mts,7922.34,6966.82,,True,True,True,True,,Normal,100% Poliéster,Oto-Inv,Jersey,,"El tejido Polar Infantil se caracteriza por tener una textura suave y afelpada al tacto en ambas caras. Su apariencia es lisa, uniforme y térmica.",Semi Brilloso,Punto,Estampado,1.6,1.05,185.0,3.38,0.0,0.0,0.0,,Si,3.0,10500.0,Pieza_Elastizada,,true,5.0,,iva_10,Activo
74,B0023,Articulo,POLAR LISO,101,Mts,7858.23,9437.4,,True,True,True,True,,Normal,100% Poliéster,Oto-Inv,Jersey,,"El tejido Polar Liso se caracteriza por tener una textura suave y afelpada al tacto en ambas caras. Su apariencia es lisa, uniforme y térmica.",Semi Brilloso,Punto,Liso,1.65,1.18,211.0,2.87,0.0,0.0,0.0,,Si,3.0,9000.0,Pieza_Elastizada,,true,5.0,,iva_10,Activo
75,B0024,Articulo,POLAR VELBOA ESTAMPADO,101,Mts,15248.57,21126.85,,True,True,True,True,,Normal,100% POLIESTER,Oto-Inv,Jersey,MICRO PELOS,"TELA SUAVE, TERMICA CON PELOS FINOS Y LARGOS",Semi Brilloso,Punto,Estampado,1.94,1.6,294.0,1.75,0.0,0.0,0.0,,Si,3.0,19500.0,Pieza_Elastizada,,,,,iva_10,Activo
76,B0025,Articulo,POLAR VELBOA EMBOSS,101,Mts,10118.71,10096.78,,True,True,True,True,,Normal,100% POLIESTER,Oto-Inv,Jersey,DIBUJOS EN RELIEVE,TELA SUAVE TERMICO CON PELOS FINOS Y LARGOS,Semi Brilloso,Punto,Labrado,1.81,1.39,212.0,2.61,0.0,0.0,0.0,,Si,3.0,19500.0,Pieza_Elastizada,,on,,,iva_10,Activo
77,B0026,Articulo,PANA ALOBA,101,Mts,11466.34,12007.53,,True,True,True,True,,Normal,100% POLIESTER,Oto-Inv,Urdimbre,NINGUNA,TELA ELASTICA CON MICRO FELPA,Semi Brilloso,Punto,Liso,1.9,1.0,230.0,2.22,0.0,0.0,0.0,,Si,3.0,19500.0,Manual,,,,,iva_10,Activo
78,B0027,Articulo,MALLA SPORT,101,Mts,2886.38,2374.52,,True,True,True,True,,Normal,100% Poliéster,Perm,Urdimbre,,"La Malla Sport es una tela semirrígida y liviana, transpirable y de alto rendimiento. Ideal para usar como forreria y detalles en prendas deportivas. ",Mate,Punto,Liso,1.6,0.28,60.0,10.06,0.0,0.0,0.0,,Si,2.0,5500.0,Manual,,true,5.0,,iva_10,Activo
79,B0028,Articulo,VISCOLYCRA LISO,101,Mts,11958.56,10053.8,,True,True,True,True,,Normal,97% viscosa 3% spandex,Perm,Jersey,NINGUNA,"TELA SUAVE, FRESCA, AL TACTO ES FRIO",Mate,Punto,Liso,1.6,0.5,175.0,3.42,0.0,0.0,0.0,,Si,3.0,12500.0,Manual,,,,,iva_10,Activo
80,B0029,Articulo,LYCRA SEDA,101,Mts,23653.77,22526.71,,True,True,True,True,,Normal,84% Poliamida 16% Spandex,Perm,Interlock,,"La tela Lycra Seda es de doble revote, suave y resistente. Su elasticidad la hace ideal para indumentarias deportivas o prendas de alto rendimiento. ",Mate,Punto,Liso,1.55,0.64,236.0,2.73,0.0,0.0,0.0,,Si,3.0,35000.0,Manual,,true,5.0,,iva_10,Activo
81,B0030,Articulo,INTERLOCK COTTON LISO,101,Mts,22488.21,24170.81,,True,True,True,True,,Normal,100% Algodón,Perm,Interlock,," El Interlock Cotton Liso es un tejido ideal para niños, su composición es 100% algodón de alta calidad lo que brinda al tejido una alta resistencia y durabilidad. De tacto suave, mullido y fresco , sus usos mas comunes son prendas para niños, ropa interior y trajes de danza. ",Mate,Punto,Liso,1.8,0.6,200.0,2.78,0.0,0.0,0.0,,Si,3.0,27000.0,Pieza_Elastizada,,true,1.0,,iva_10,Activo
82,B0031,Articulo,INTERLOCK COTTON INFANTIL,101,Mts,27895.85,26799.38,,True,True,True,True,,Normal,100% Algodón,Perm,Interlock,," El Interlock Cotton Infantil es un tejido ideal para niños, su composición es 100% algodón de alta calidad lo que brinda al tejido una alta resistencia y durabilidad. De tacto suave, mullido y fresco , sus usos mas comunes son prendas para niños, ropa interior y trajes de danza. ",Mate,Punto,Estampado,1.9,0.66,200.0,2.63,0.0,0.0,0.0,,Si,3.0,32500.0,Pieza_Elastizada,,true,1.0,,iva_10,Activo
83,B0032,Articulo,LYCRA SEGUNDA PIEL,101,Mts,12936.64,13768.66,,True,True,True,True,,Normal,95% Poliéster / 5% Spandex,Perm,Interlock,NINGUNA,"TELA ELASTIZADA, DOBLE REBOTE",Semi Brilloso,Punto,Liso,1.74,0.45,162.0,3.55,0.0,0.0,0.0,,Si,3.0,15500.0,Manual,,false,,,iva_10,Activo
84,B0033,Articulo,LYCRA LAMINADO,101,Mts,12313.0,0.0,,True,True,True,True,,Normal,POLIESTER/SPANDEX,Oto-Inv,Jersey,LAMINADO EN FOILE,TELA ELASTIZADA DOBLE REBOTE,Semi Brilloso,Punto,Estampado,1.5,0.34,176.0,3.67,0.0,0.0,0.0,,Si,0.0,0.0,Manual,,,,,iva_10,Activo
85,B0034,Articulo,JERSEY SEDA,101,Mts,4357.19,6056.03,,True,True,True,True,,Normal,100% Poliéster,Perm,Interlock,,"El Jersey Seda es una tela deportiva de medio rendimiento, se caracteriza por ser ligera, suave y con gran elasticidad.",Semi Brilloso,Punto,Liso,1.6,0.46,125.0,5.0,0.0,0.0,0.0,,Si,3.0,5500.0,Pieza_Elastizada,,true,5.0,,iva_10,Activo
86,B0035,Articulo,INTERLOCK RAYAS,101,Mts,4939.0,,,True,True,True,True,,Normal,100% POLIESTER,Permanente,Interlock,NINGUNA,TELA DEPORTIVA SUAVE Y ELASTIZADA,Semi Brilloso,Punto,Estampado,1.5,0.38,139.0,4.64,0.0,0.0,0.0,,Si,3.0,8500.0,Manual,,,,,iva_10,Activo
87,B0036,Articulo,MATELASSE DOBLE PU,101,Mts,31175.42,48333.6,,True,True,True,True,,Normal,100% POLIESTER,Oto-Inv,,,,Mate,Punto,Estampado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Si,0.0,0.0,Pieza_Rigida,,,,,iva_10,Activo
88,B0037,Articulo,MATELASSE COTTON,101,Mts,24145.14,25648.38,,True,True,True,True,,Normal,100% Algodon,Oto-Inv,Jersey,tejido compuesto,"Tela compuesta con doble frente, suave al tacto",Mate,Punto,Labrado,1.84,0.0,227.0,2.39,0.0,0.0,0.0,,Si,2.0,52000.0,Pieza_Elastizada,,,,,iva_10,Activo
89,B0038,Articulo,LYCRA SEDA ELUNEY,101,Mts,5788.0,0.0,,True,True,True,True,,Normal,POLIESTER/SPANDEX,Oto-Inv,Jersey,NINGUNA,TELA ELASTICA Y SUAVE,Mate,Punto,Liso,1.25,0.0,193.0,3.45,0.0,0.0,0.0,,Si,3.0,15500.0,Manual,,,,,iva_10,Activo
90,B0039,Articulo,JERSEY LYCRA,101,Mts,48333.96,53680.21,,True,True,True,True,,Normal,97% ALGODON 3% LYCRA,Oto-Inv,Jersey,NINGUNA,TELA SUAVE Y ELASTICA,Mate,Punto,Liso,1.8,0.81,277.0,2.01,0.0,0.0,0.0,,Si,3.0,32500.0,Manual,,,,,iva_10,Activo
91,B0040,Articulo,JERSEY PREMIUM ESTAMPADO,101,Mts,4953.0,,,True,True,True,True,,Normal,96% POLIESTER/4% SPANDEX,Otoño Invierno,Jersey,SUPERFICIE CARDADA,TELA SUAVE Y MULLIDA,Mate,Punto,Estampado,1.8,0.54,162.0,3.43,0.0,0.0,0.0,,Si,3.0,11500.0,Manual,,,,,iva_10,Activo
92,B0041,Articulo,MICROFIBRA SPANDEX SOFT,101,Mts,7225.83,7888.32,,True,True,True,True,,Normal,97% Poliéster / 3% Spandex,Perm,Tafetán,,"La Microfibra Spandex Soft es una tela resistente de buen rendimiento, ligera y suave al tacto. Recomendado para blusas, vestidos y faldas.",Mate,Plano,Liso,1.5,0.0,105.0,6.34,0.0,0.0,0.0,,Si,3.0,11614.0,Pieza_Elastizada,,true,5.0,,iva_10,Activo
93,B0042,Articulo,PIEL DE DURAZNO ESTAMPADO,101,Mts,7640.22,6557.39,,True,True,True,True,,Normal,95% Poliéster / 5% Spandex,Perm,Jersey,,"La tela Piel de Durazno Estampado se llama así porque es suave como un durazno, fresca y liviana. Tiene una alta resistencia y durabilidad, se usa para bodies, blusas, camisetas, Es apta para sublimación. ",Mate,Punto,Estampado,1.6,0.43,224.0,2.79,0.0,0.0,0.0,,Si,3.0,15500.0,Manual,,false,,,iva_10,Activo
94,B0043,Articulo,MODAL ESTAMPADO,101,Mts,8292.03,8312.36,,True,True,True,True,,Normal,100% Poliéster,Perm,Jersey,,,Mate,Punto,Estampado,1.7,4.0,174.0,3.38,0.0,0.0,0.0,,Si,2.0,9000.0,Manual,,false,,,iva_10,Activo
95,B0044,Articulo,JERSEY RAYAS,101,Mts,7796.93,6530.51,,True,True,True,True,,Normal,POLIESTER/VISCOSA,Oto-Inv,Jersey,NINGUNA,TELA SUAVE Y ELASTICA,Mate,Punto,Labrado,1.7,0.59,188.0,3.04,0.0,0.0,0.0,,Si,3.0,12500.0,Manual,,,,,iva_10,Activo
96,B0045,Articulo,TACTEL ENGOMADO,101,Mts,5366.41,9000.0,,True,True,True,True,,Normal,NYLON,Oto-Inv,Tafetan,NINGUNA,TELA RIGIDA E IMPERMEABLE,Semi Brilloso,Plano,Liso,1.5,0.17,168.0,4.25,0.0,0.0,0.0,,Si,3.0,9000.0,Pieza_Rigida,,,,,iva_10,Activo
97,B0046,Articulo,POLAR ACANALADO,101,Mts,6053.0,0.0,,True,True,True,True,,Normal,100% POLIESTER,Oto-Inv,Jersey,NINGUNA,TELA CON BASTAS REGULARES SUAVE Y TERMICA,Semi Brilloso,Punto,Liso,1.5,1.18,211.0,3.39,0.0,0.0,0.0,,Si,0.0,0.0,Pieza_Elastizada,,,,,iva_10,Activo
98,B0047,Articulo,JERSEY MELANGE,101,Mts,10001.28,10424.77,,True,True,True,True,,Normal,100% POLIESTER,Perm,JERSEY,NINGUNA,"Tela con Buena elasticidad, Tacto suave, Transpirable y secado rápido (DTY)",Mate,Punto,Labrado,1.6,0.0,180.0,3.38,0.0,0.0,0.0,,Si,2.0,21500.0,Manual,,false,,,iva_10,Activo
99,B0048,Articulo,LYCRA TEXTURIZADA,101,Mts,17837.07,23253.86,,True,True,True,True,,Normal,92% POLIESTER 8% SPANDEX,Perm,,,,Brilloso,Punto,Labrado,1.6,0.0,300.0,0.0,0.0,0.0,0.0,,Si,2.0,43500.0,Manual,,,,,iva_10,Activo
100,B0049,Articulo,MANTILLA LANILLADA,101,Mts,2527.0,0.0,,True,True,True,True,,Normal,POLIESTER,Oto-Inv,Urdimbre,REVES CON FELPA,TELA ORNAMENTAL Y TERMICA,Mate,Punto,Liso,1.6,1.44,112.0,5.58,0.0,0.0,0.0,,Si,0.0,0.0,Manual,,,,,iva_10,Activo
101,B0050,Articulo,JERSEY ESTAMPADO LANILLADO,101,Mts,16872.0,0.0,,True,True,True,True,,Normal,POLIESTER,Oto-Inv,Jersey,NINGUNA,TELA FINA SUAVE Y TERMICA,Mate,Punto,Estampado,1.5,0.74,184.0,3.62,0.0,0.0,0.0,,Si,0.0,0.0,Manual,,,,,iva_10,Activo
102,B0051,Articulo,RIBB LIVIANO RAYAS,101,Mts,10339.0,0.0,,True,True,True,True,,Normal,POLIESTER/ALGODON,Oto-Inv,Jersey,NINGUNA,TELA ACANALADA SUAVE Y LIVIANA,Mate,Punto,Liso,1.7,0.69,141.0,4.17,0.0,0.0,0.0,,Si,0.0,0.0,Manual,,,,,iva_10,Activo
103,B0052,Articulo,PIQUE CVC,101,Mts,12461.0,0.0,,True,True,True,True,,Normal,POLIESTER/ALGODON,Perm,Por Trama,NINGUNA,"TELA TEXTURADA, TACTO LISO Y SUAVE",Mate,Punto,Liso,2.0,0.82,201.0,2.49,0.0,0.0,0.0,,Si,3.0,18000.0,Manual,,,,,iva_10,Activo
104,B0053,Articulo,DEPORTIVO FRISADO,101,Mts,9763.04,10323.49,,True,True,True,True,,Normal,100% POLIESTER,Oto-Inv,Jersey,NINGUNA,TELA SUAVE Y CONFORTABLE,Mate,Punto,Liso,1.64,1.21,173.0,3.52,0.0,0.0,0.0,,Si,3.0,11500.0,Manual,,,,,iva_10,Activo
105,B0054,Articulo,BUZO PA ELUNEY,101,Mts,6759.0,,,True,True,True,True,,Normal,100% POLIESTER,Permanente,Tricot/Jersey,NINGUNA,TELA RESISTENTE Y DURABLE,Semi Brilloso,Punto,Liso,1.5,0.78,237.0,2.72,0.0,0.0,0.0,,Si,3.0,8500.0,Manual,,,,,iva_10,Activo
106,B0055,Articulo,DRY FIT,101,Mts,5870.06,5853.36,,True,True,True,True,,Normal,100% Poliéster,Perm,Interlock,,El Dry Fit es una tela deportiva suave y liviana. Ideal para prendas de alto rendimiento.,Semi Brilloso,Punto,Liso,1.88,0.39,135.0,3.94,0.0,0.0,0.0,,Si,3.0,9500.0,Pieza_Elastizada,,false,,,iva_10,Activo
107,B0056,Articulo,MALLA ELUNEY,101,Mts,2601.0,0.0,,True,True,True,True,,Normal,POLIESTER,Oto-Inv,Urdimbre,NINGUNA,TELA SEMI TRANSPARENTE ELASTIZADO,Semi Brilloso,Punto,Liso,1.5,0.29,87.0,7.42,0.0,0.0,0.0,,Si,0.0,0.0,Manual,,,,,iva_10,Activo
108,B0057,Articulo,JERSEY ELIZABETH INFANTIL,101,Mts,9894.0,0.0,,True,True,True,True,,Normal,POLIESTER/RAYON,Oto-Inv,Jersey,NINGUNA,TELA SUAVE Y ELASTICA,Mate,Punto,Estampado,1.7,0.41,140.0,4.2,0.0,0.0,0.0,,Si,0.0,0.0,Manual,,,,,iva_10,Activo
109,B0058,Articulo,JERSEY POLIVISCOSA,101,Mts,8912.0,0.0,,True,True,True,True,,Normal,POLIESTER/VISCOSA,Oto-Inv,Jersey,NINGUNA,"TELA ELASTICA, FRESA Y SUAVE AL TACTO",Mate,Punto,Liso,1.8,0.37,134.0,4.15,0.0,0.0,0.0,,Si,0.0,0.0,Manual,,,,,iva_10,Activo
110,B0059,Articulo,MALLA LUREX ESTAMPADA,101,Mts,5461.0,0.0,,True,True,True,True,,Normal,POLIESTER/LUREX,Oto-Inv,Malla,BRILLO POR FOIL,"TELA ELASTICA, FINA CON BRILLO",Brilloso,Punto,Estampado,1.5,0.41,86.0,7.75,0.0,0.0,0.0,,Si,0.0,0.0,Manual,,,,,iva_10,Activo
111,B0060,Articulo,PIEL MONO,101,Mts,4682.0,0.0,,True,True,True,True,,Normal,POLIESTER,Oto-Inv,JERSEY,NINGUNA,TELA SUAVE Y ELASTICA,Brilloso,Punto,Liso,1.6,91.0,25200.0,248.0,0.0,0.0,0.0,,Si,3.0,8500.0,Manual,,,,,iva_10,Activo
112,B0061,Articulo,CATIONIC ELUNEY,101,Mts,4217.0,0.0,,True,True,True,True,,Normal,100% POLIESTER,Oto-Inv,Jersey,NINGUNA,TELA LIVIANA Y SUAVE AL TACTO,Mate,Punto,Liso,1.6,0.0,146.0,4.28,0.0,0.0,0.0,,Si,3.0,6000.0,Manual,,,,,iva_10,Activo
113,B0062,Articulo,MOLETON FRISA,101,Mts,23296.0,0.0,,True,True,True,True,,Normal,50% ALGODON 50% POLIESTER,Oto-Inv,Jersey,FRISADO AL REVES,TELA  TERMICA Y SUAVE AL TACTO,Mate,Punto,Liso,1.8,1.36,325.0,1.71,0.0,0.0,0.0,,Si,0.0,0.0,Pieza_Elastizada,,,,,iva_10,Activo
114,B0063,Articulo,MATELASSE EMBOSS,101,Mts,20195.0,0.0,,True,True,True,True,,Normal,100% POLIESTER,Oto-Inv,Interlock,DISEÑO EMBOSS,TELA COMPUESTA TERMICA Y SEMI IMPERMEABLE,Semi Brilloso,Punto,Labrado,1.6,1.7,300.0,3.46,0.0,0.0,0.0,,Si,0.0,0.0,Manual,,,,,iva_10,Activo
115,B0064,Articulo,PIQUE MELANGE,101,Mts,8150.21,11264.83,,True,True,True,True,,Normal,Nylon / Spandex,Perm,Pique,,"El Pique Melange es una tela de alto rendimiento, suave al tacto y cuenta con construcción pique que la hace fresca y liviana. Ideal para usar en camisetas, musculosas, vestidos de tenis y hockey. ",Mate,Punto,Labrado,1.65,0.0,177.0,3.42,0.0,0.0,0.0,,Si,2.0,20500.0,Manual,,true,5.0,,iva_10,Activo
116,B0065,Articulo,CONVEX XL,101,Mts,5861.79,5507.75,,True,True,True,True,,Normal,100% POLIESTER,Perm,Por Trama,NINGUNA,TELA TEXTURADA SUAVE Y LIVIANA,Semi Brilloso,Punto,Liso,1.9,0.55,140.0,3.75,0.0,0.0,0.0,,Si,3.0,8500.0,Manual,,false,,,iva_10,Activo
117,B0066,Articulo,JERSEY LOLA,101,Mts,8242.1,5703.67,,True,True,True,True,,Normal,ALGODÓN / POLIÉSTER,Perm,JERSEY,,"El Jersey Lola es una tela extra suave debido al delicado peinado, presenta buena elasticidad y resistencia al uso diario. Ideal para camisetas, vestidos y pijamas. ",Mate,Punto,Liso,1.8,0.48,254.0,2.15,0.0,0.0,0.0,,Si,3.0,12060.0,Manual,,false,,,iva_10,Activo
118,B0067,Articulo,JERSEY CON APLIQUES,101,Mts,11541.0,0.0,,True,True,True,True,,Normal,100% POLIESTER,Oto-Inv,Jersey,TIRAS EN RELIEVES,TELA ELASTICA CON VOLADOS IRREGULARES,Mate,Punto,Labrado,1.5,0.47,150.0,4.44,0.0,0.0,0.0,,Si,0.0,0.0,Manual,,,,,iva_10,Activo
119,B0068,Articulo,JERSEY MODAL LISO,101,Mts,9505.62,10624.1,,True,True,True,True,,Normal,POLIESTER/SPANDEX,Perm,Jersey,NINGUNA,TELA SUAVE Y ELASTICA,Mate,Punto,Liso,1.8,0.52,186.0,3.07,0.0,0.0,0.0,,Si,3.0,10500.0,Manual,,,,,iva_10,Activo
120,B0069,Articulo,MATELASSE GAMUZADO,101,Mts,13130.0,0.0,,True,True,True,True,,Normal,100% POLIESTER,Oto-Inv,Tafetan,GUATA Y TNT,"TELA COMPUESTA, TERMICA Y SEMI IMPERMEABLE",Semi Brilloso,Punto,Liso,1.5,1.36,223.0,3.24,0.0,0.0,0.0,,Si,0.0,0.0,Manual,,,,,iva_10,Activo
121,B0070,Articulo,BRILL LISO,101,Mts,10866.0,0.0,,True,True,True,True,,Normal,100% POLIESTER,Oto-Inv,Jersey,NINGUNA,TELA FINA Y ACANALADA,Brilloso,Punto,Liso,1.6,0.33,128.0,4.88,0.0,0.0,0.0,,Si,0.0,0.0,Manual,,,,,iva_10,Activo
